url,name,price_bdt,category,image_url,processor,generation,ram,storage,graphics_memory,gpu,display_inch,color,processor,camera_front,camera_rear,battery_mah,network,display_type,processor,storage,os
https://www.ryans.com/asus-vivobook-go-15-e1504ta-12th-gen-standard-intel-core-n150-mixed-black-laptop,Asus Vivobook Go 15 E1504TA (12th Gen Standar,60800,laptop,https://www.ryans.com/storage/products/small/asus-vivobook-go-15-e1504ta-12th-gen-standard-11776591611.webp,Core N150,12th Standard (Intel),8GB,512GB SSD,Shared,Intel Graphics,15.6,Mixed Black,,,,,,,,,
https://www.ryans.com/asus-vivobook-go-15-e1504ta-12th-gen-standard-intel-core-n150-cool-silver-laptop,Asus Vivobook Go 15 E1504TA (12th Gen Standar,60800,laptop,https://www.ryans.com/storage/products/small/asus-vivobook-go-15-e1504ta-12th-gen-standard-11776591619.webp,Core N150,12th Standard (Intel),8GB,512GB SSD,Shared,Intel Graphics,15.6,Cool Silver,,,,,,,,,
https://www.ryans.com/acer-travellite-tl14-52m-i3-13th-gen-intel-core-i3-1305u-laptop,Acer TravelLite TL14-52M-i3 13th Gen Intel Co,61000,laptop,https://www.ryans.com/storage/products/small/acer-travellite-tl14-52m-i3-13th-gen-intel-core-11730721567.webp,Core i3,13th (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,14,Silver,,,,,,,,,
https://www.ryans.com/hp-15-fd0841tu-13th-gen-intel-core-i3-1315u-silver-laptop,HP 15-fd0841TU 13th Gen Intel Core i3 1315U 8,64990,laptop,https://www.ryans.com/storage/products/small/hp-15-fd0841tu-13th-gen-intel-core-i3-1315u-8gb-11764419857.webp,Core i3,13th (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,15.6,Silver,,,,,,,,,
https://www.ryans.com/asus-vivobook-15-a1504va-series-1-intel-core-3-100u-laptop,Asus VivoBook 15 A1504VA Series 1 Intel Core,65800,laptop,https://www.ryans.com/storage/products/small/asus-vivobook-15-a1504va-series-1-intel-core-3-11776581637.webp,Core 3,Core Series 1,8GB,512GB SSD,Shared,Intel Graphics,15.6,Quiet Blue,,,,,,,,,
https://www.ryans.com/asus-vivobook-15-a1504va-series-1-intel-core-3-100u-cool-silver-laptop,Asus VivoBook 15 A1504VA Series 1 Intel Core,65800,laptop,https://www.ryans.com/storage/products/small/asus-vivobook-15-a1504va-series-1-intel-core-3-11776580514.webp,Core 3,Core Series 1,8GB,512GB SSD,Shared,Intel Graphics,15.6,Cool Silver,,,,,,,,,
https://www.ryans.com/hp-15-fd0807tu-intel-core-i3-1315u-blue-laptop,HP 15-fd0807TU Intel Core i3 1315U 8GB RAM 51,65990,laptop,https://www.ryans.com/storage/products/small/hp-15-fd0807tu-intel-core-i3-1315u-8gb-ram-512gb-11761483721.webp,Core i3,13th (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,15.6,Moonlight Blue,,,,,,,,,
https://www.ryans.com/hp-15-fd0808tu-core-i3-1315u-laptop,HP 15-fd0808TU Core i3 1315U 8GB RAM 512GB SS,65990,laptop,https://www.ryans.com/storage/products/small/hp-15-fd0808tu-core-i3-1315u-8gb-ram-512gb-ssd-11761483391.webp,Core i3,13th (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,15.6,Silver,,,,,,,,,
https://www.ryans.com/msi-modern-15-f13mg-13th-gen-intel-core-i5-1335u-laptop,MSI Modern 15 F13MG 13th Gen Intel Core i5 13,66500,laptop,https://www.ryans.com/storage/products/small/msi-modern-15-f13mg-13th-gen-intel-core-i5-1335u-11734611831.webp,Core i5,13th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Platinum Gray,,,,,,,,,
https://www.ryans.com/smart-flairedge-12th-gen-intel-core-i7-1255u-laptop,Smart Flairedge 12th Gen Intel Core i7 1255U,67500,laptop,https://www.ryans.com/storage/products/small/smart-flairedge-12th-gen-intel-core-i7-1255u-8gb-51736834920.webp,Core i7,12th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Silver,,,,,,,,,
https://www.ryans.com/acer-aspire-3-a325-53-intel-core-i5-1334u-8gb-ram-laptop,Acer Aspire 3 A325-53 Intel Core i5 1334U 8GB,68000,laptop,https://www.ryans.com/storage/products/small/acer-aspire-3-a325-53-intel-core-i5-1334u-8gb-ram-11764240652.webp,Core i5,13th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Silver,,,,,,,,,
https://www.ryans.com/acer-aspire-lite-al15-53-intel-core-i5-1334u-8gb-ram-laptop,Acer Aspire Lite AL15-53 Intel Core i5 1334U,69000,laptop,https://www.ryans.com/storage/products/small/acer-aspire-lite-al15-53-intel-core-i5-1334u-8gb-11764241166.webp,Core i5,13th Standard (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Steel Gray,,,,,,,,,
https://www.ryans.com/acer-aspire-lite-al15-53-13th-gen-intel-core-i5-1334u-8gb-ram-ddr4-laptop,Acer Aspire Lite AL15-53 13th Gen Intel Core,69000,laptop,https://www.ryans.com/storage/products/small/acer-aspire-lite-al15-53-13th-gen-intel-core-i5-11777282823.webp,Core i5,13th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Silver,,,,,,,,,
