p_name,release_date,specs,price_bdt,category,source
Motorola Moto G17 Power,2026,Motorola Moto G17 Power | Review: ,29990,smartphone,Dazzle
Motorola Moto G67,2026,Motorola Moto G67 | Review: ,34990,smartphone,Dazzle
Motorola Moto G67 Power,2026,Motorola Moto G67 Power | Review: ,23499,smartphone,Dazzle
Motorola Moto G57,2026,Motorola Moto G57 | Review: ,22550,smartphone,Dazzle
Motorola Moto G77,2026,Motorola Moto G77 | Review: ,44990,smartphone,Dazzle
Realme Note 70 Official,2026,Realme Note 70 Official | Review: ,13999,smartphone,Dazzle
Realme C85 Pro Official,2026,Realme C85 Pro Official | Review: ,22999,smartphone,Dazzle
vivo X200T,2026,vivo X200T | Review: ,79990,smartphone,Dazzle
Oppo Reno15,2026,Oppo Reno15 | Review: ,52990,smartphone,Dazzle
vivo Y500i,2026,vivo Y500i | Review: ,27990,smartphone,Dazzle
Oppo Reno15 F,2026,Oppo Reno15 F | Review: ,50990,smartphone,Dazzle
vivo iQOO Z11 Turbo,2026,vivo iQOO Z11 Turbo | Review: ,52490,smartphone,Dazzle
Oppo Reno15 Pro Mini,2026,Oppo Reno15 Pro Mini | Review: ,65990,smartphone,Dazzle
Samsung Galaxy Z TriFold,2026,Samsung Galaxy Z TriFold | Review: ,494990,smartphone,Dazzle
Oppo Reno15 FS,2026,Oppo Reno15 FS | Review: ,65990,smartphone,Dazzle
Samsung Galaxy S26 5G,2026,Samsung Galaxy S26 5G | Review: ,102990,smartphone,Dazzle
Motorola Moto G100 Pro,2026,Motorola Moto G100 Pro | Review: ,25990,smartphone,Dazzle
Motorola Moto G100S,2026,Motorola Moto G100S | Review: ,21988,smartphone,Dazzle
Realme Narzo 90X,2026,Realme Narzo 90X | Review: ,18990,smartphone,Dazzle
Samsung Galaxy F17,2026,Samsung Galaxy F17 | Review: ,22499,smartphone,Dazzle
Oppo F31 Pro,2026,Oppo F31 Pro | Review: ,34990,smartphone,Dazzle
Oppo F31 Pro Plus,2026,Oppo F31 Pro Plus | Review: ,42490,smartphone,Dazzle
Vivo Y21d,2026,Vivo Y21d | Review: ,18490,smartphone,Dazzle
Realme P3 Lite,2026,Realme P3 Lite | Review: ,19990,smartphone,Dazzle
Oppo A6i,2026,Oppo A6i | Review: ,17990,smartphone,Dazzle
Google Pixel 6 Pro,2026,Google Pixel 6 Pro | Review: ,36990,smartphone,Dazzle
Acer ALG Gaming-AL15G-53 ,2026,Processor: Core i5 | Gen: 13th (Intel) | RAM: 16GB | Storage: 1TB SSD | GPU: Nvidia RTX 3050 Graphics | GPU Mem: 6GB | Display: 15.6 | Color: Steel Gray,110000,laptop,Ryans
Acer Aspire 15 AS15-42,2026,Processor: Ryzen 3 | Gen: Ryzen | RAM: 8GB | Storage: 512GB SSD | GPU: AMD Radeon Graphics | GPU Mem: Shared | Display: 15.6 | Color: Pure Silver,56500,laptop,Ryans
Acer Aspire 15 AS15-42,2026,Processor: Ryzen 5 | Gen: Ryzen | RAM: 8GB | Storage: 512GB SSD | GPU: AMD Radeon Graphics | GPU Mem: Shared | Display: 15.6 | Color: Pure Silver,66000,laptop,Ryans
Acer Aspire 3 A324-31 ,2026,Processor: Core N100 | Gen: 12th Standard (Intel) | RAM: 8GB | Storage: 512GB SSD | GPU: Intel UHD Graphics | GPU Mem: Shared | Display: 14 | Color: Steel Gray,46000,laptop,Ryans
Acer Aspire 3 A325-45,2026,Processor: Intel Celeron | Gen: Celeron Series | RAM: 8GB | Storage: 512GB | GPU: Intel UHD Graphics | GPU Mem: Shared | Display: 15.6 | Color: Pure Silver,37900,laptop,Ryans
Acer Aspire 3 A325-45 ,2026,Processor: Intel Celeron | Gen: Celeron Series | RAM: 12GB | Storage: 512GB SSD | GPU: Intel UHD Graphics | GPU Mem: Shared | Display: 15.6 | Color: Pure Silver,40800,laptop,Ryans
Acer Aspire 3 A325-53,2026,Processor: Core i3 | Gen: 13th (Intel) | RAM: 8GB | Storage: 512GB SSD | GPU: Intel UHD Graphics | GPU Mem: Shared | Display: 15.6 | Color: Blue,58000,laptop,Ryans
Acer Aspire 3 A325-53,2026,Processor: Core i5 | Gen: 13th (Intel) | RAM: 8GB | Storage: 512GB SSD | GPU: Intel Iris Xe Graphics | GPU Mem: Shared | Display: 15.6 | Color: Pure Silver,69900,laptop,Ryans
Acer Aspire 3 A325-53,2026,Processor: Core i5 | Gen: 13th (Intel) | RAM: 16GB | Storage: 512GB SSD | GPU: Intel Iris Xe Graphics | GPU Mem: Shared | Display: 15.6 | Color: Silver,70000,laptop,Ryans
Acer Aspire 3 A325-53,2026,Processor: Core i3 | Gen: 13th (Intel) | RAM: 8GB | Storage: 512GB SSD | GPU: Intel UHD Graphics | GPU Mem: Shared | Display: 15.6 | Color: Silver,55900,laptop,Ryans
Acer Aspire 3 A325-53,2026,Processor: Core i3 | Gen: 13th (Intel) | RAM: 8GB | Storage: 512GB SSD | GPU: Intel UHD Graphics | GPU Mem: Shared | Display: 15.6 | Color: Blue,55900,laptop,Ryans
